Location(A),Location(B),Date,Electricity,Gas,latitude,longitude,Area,Approval
서대문구,북가좌 2동,2019-10-01,3441,262,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2019-11-01,3544,369,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2019-12-01,5945,1075,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-01-01,6684,1027,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-02-01,5962,1438,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-03-01,5686,830,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-04-01,4436,378,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-05-01,3918,272,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-06-01,4600,355,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-07-01,4413,284,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-08-01,4319,213,37.58152767,126.9113252,184.92,1977-06-16
서대문구,북가좌 2동,2020-09-01,4767,273,37.58152767,126.9113252,184.92,1977-06-16
서대문구,남가좌 2동,2019-10-01,7315,3980,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2019-11-01,6750,23154,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2019-12-01,8555,29846,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-01-01,8464,29084,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-02-01,8655,16822,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-03-01,8810,5255,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-04-01,6687,5255,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-05-01,5784,16822,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-06-01,6964,29084,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-07-01,7768,29846,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-08-01,7126,23154,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,남가좌 2동,2020-09-01,7492,3980,37.57834347,126.9238645,1313.77,1999-01-21
서대문구,홍은 2동,2019-10-01,18320,524,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2019-11-01,13253,4150,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2019-12-01,29375,5000,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-01-01,45484,6735,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-02-01,45349,6466,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-03-01,39543,5905,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-04-01,25518,6067,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-05-01,15078,4725,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-06-01,12686,1004,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-07-01,22196,367,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-08-01,25174,391,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,홍은 2동,2020-09-01,32578,403,37.58020519,126.9343734,3704.14,2009-01-19
서대문구,연희동,2019-10-01,7557,1728,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2019-11-01,5791,5875,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2019-12-01,10675,7326,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-01-01,15014,8100,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-02-01,16193,7367,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-03-01,13286,4852,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-04-01,9812,2541,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-05-01,7224,1830,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-06-01,5648,1254,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-07-01,7262,828,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-08-01,7448,758,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,연희동,2020-09-01,8316,1423,37.57384494,126.9351059,2013.16,2002-02-26
서대문구,홍제 1동,2019-10-01,2241,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2019-11-01,2087,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2019-12-01,3370,30,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-01-01,4555,36,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-02-01,4794,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-03-01,4835,12,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-04-01,4524,12,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-05-01,3543,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-06-01,2449,36,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-07-01,2837,30,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-08-01,2669,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 1동,2020-09-01,2984,24,37.58774097,126.944875,590.13,1987-11-13
서대문구,홍제 3동,2019-10-01,11164,13177,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2019-11-01,9525,16637,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2019-12-01,21420,18148,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-01-01,24533,19413,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-02-01,23105,6318,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-03-01,17755,3654,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-04-01,14877,1820,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-05-01,12479,331,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-06-01,10487,189,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-07-01,12511,213,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-08-01,12770,225,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,홍제 3동,2020-09-01,13836,249,37.5937476,126.9496694,1782.43,2007-04-30
서대문구,신촌동,2019-10-01,3104,477,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2019-11-01,3449,11036,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2019-12-01,7386,18633,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-01-01,7367,18244,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-02-01,7288,15123,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-03-01,6678,13630,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-04-01,5177,10010,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-05-01,3445,1889,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-06-01,3400,567,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-07-01,4159,414,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-08-01,4406,628,37.55947538,126.9434636,498.94,1984-11-04
서대문구,신촌동,2020-09-01,5358,724,37.55947538,126.9434636,498.94,1984-11-04
서대문구,충현동,2019-10-01,4835,477,37.56491245,126.9547761,1347.7,2002-04-29
서대문구,충현동,2019-11-01,5328,11036,37.56491245,126.9547761,1347.7,2002-04-29
서대문구,충현동,2019-12-01,10850,18633,37.56491245,126.9547761,1347.7,2002-04-29
서대문구,충현동,2020-01-01,11918,18244,37.56491245,126.9547761,1347.7,2002-04-29
